iter	Logloss
0	0.6929638293
1	0.6928350513
2	0.6926786156
3	0.6925606184
4	0.6924341468
5	0.6922905185
6	0.6921787102
7	0.6920191177
8	0.6918692433
9	0.6917517431
10	0.6915285883
11	0.6913849628
12	0.6912920402
13	0.6911922659
14	0.6910064634
15	0.6908979439
16	0.6907518744
17	0.6906120054
18	0.6903975073
19	0.6902975284
20	0.6902111608
21	0.6901205245
22	0.6899432049
23	0.6898669224
24	0.6896920299
25	0.6896184713
26	0.6894969914
27	0.6893890667
28	0.6892878926
29	0.6891754536
30	0.6890897204
31	0.6890073177
32	0.6889114927
33	0.6887514526
34	0.6886514217
35	0.6884765257
36	0.6883488772
37	0.68816428
38	0.6880096207
39	0.6878962615
40	0.6877924315
41	0.6876936918
42	0.6875735037
43	0.687523453
44	0.6874300246
45	0.6873517084
46	0.6872384562
47	0.6870624036
48	0.6869546709
49	0.6868722626
50	0.6867894632
51	0.6867523701
52	0.6866431771
53	0.6864631396
54	0.6863727646
55	0.6862389493
56	0.6861025047
57	0.6860332136
58	0.6859222008
59	0.6858509069
60	0.6857511716
61	0.6856642453
62	0.6855919752
63	0.6854536083
64	0.6853935194
65	0.6853033702
66	0.6852549917
67	0.6851876308
68	0.6850596271
69	0.6849239903
70	0.6848219296
71	0.6847318395
72	0.6846262083
73	0.6844833236
74	0.6843805563
75	0.6842949747
76	0.684220373
77	0.6841505403
78	0.6840180283
79	0.6839392894
80	0.6838836263
81	0.6838031865
82	0.6836877867
83	0.6836210904
84	0.6835629653
85	0.6834621901
86	0.6834029218
87	0.6833001871
88	0.6832124656
89	0.6831714494
90	0.6831019425
91	0.6829793765
92	0.6828304509
93	0.6827220511
94	0.6826304065
95	0.6825530721
96	0.6824772914
97	0.6824218777
98	0.682314563
99	0.6822532258
100	0.6822070464
101	0.6821700519
102	0.682115939
103	0.6820387811
104	0.6819560536
105	0.6819152002
106	0.6818592366
107	0.6818051963
108	0.6817202455
109	0.6816187657
110	0.6815631125
111	0.6814628708
112	0.681406388
113	0.6813684203
114	0.6813234696
115	0.6812701058
116	0.6811904867
117	0.681114017
118	0.6810684977
119	0.6809910291
120	0.6809333474
121	0.6808006639
122	0.680696006
123	0.6806068222
124	0.6805215108
125	0.6804475961
126	0.6803643755
127	0.680320531
128	0.6802331524
129	0.6801504906
130	0.6800974192
131	0.6800363152
132	0.6799775308
133	0.679931706
134	0.6798218352
135	0.6797811753
136	0.6797465504
137	0.679683353
138	0.6796293552
139	0.679562341
140	0.6795110433
141	0.6794246692
142	0.6793532756
143	0.6792788769
144	0.6792114031
145	0.679148568
146	0.679110227
147	0.6789998886
148	0.6789333012
149	0.6788846458
150	0.6788645088
151	0.6787745113
152	0.6787379676
153	0.6787024871
154	0.6786410905
155	0.6785907526
156	0.6785350045
157	0.6784843321
158	0.678434394
159	0.6783838447
160	0.6783310436
161	0.678266118
162	0.678215094
163	0.678173493
164	0.678091545
165	0.678016589
166	0.6779465715
167	0.6779162567
168	0.6778247999
169	0.6777125608
170	0.6776188668
171	0.677541141
172	0.6775019532
173	0.677427316
174	0.6773558022
175	0.6772648247
176	0.6771717115
177	0.6771143407
178	0.6770824684
179	0.6770070664
180	0.6769632692
181	0.6769001741
182	0.6768125749
183	0.6767657239
184	0.6767028089
185	0.6766472953
186	0.6766081014
187	0.6765331861
188	0.676459577
189	0.6764112763
190	0.6763680033
191	0.6763455238
192	0.6762833585
193	0.6762383798
194	0.6761821792
195	0.6760964069
196	0.6760392421
197	0.6760181463
198	0.6759422649
199	0.6759095559
200	0.6758751988
201	0.6757885745
202	0.6757358919
203	0.6756494113
204	0.6756214985
205	0.6755490059
206	0.6754902291
207	0.6754355026
208	0.6753955501
209	0.6753467164
210	0.6753007511
211	0.6752655045
212	0.6751906253
213	0.6751505543
214	0.6750595791
215	0.6750251045
216	0.6749616052
217	0.6749396468
218	0.6748647037
219	0.6748015193
220	0.6747613807
221	0.6747135247
222	0.6746806545
223	0.6745656972
224	0.6744934097
225	0.6743731214
226	0.6742927927
227	0.6742280742
228	0.6741443699
229	0.6741140394
230	0.6740340141
231	0.673998896
232	0.6739137027
233	0.6738090386
234	0.6737847388
235	0.6736882173
236	0.6736322219
237	0.6735598767
238	0.6735267499
239	0.6734639222
240	0.6733938822
241	0.6733460477
242	0.6733094477
243	0.673223417
244	0.6731453623
245	0.6731067419
246	0.6730239285
247	0.6730017201
248	0.6729358855
249	0.6728718361
250	0.6727945049
251	0.6727756453
252	0.6727016332
253	0.6726405538
254	0.6725395299
255	0.6725063297
256	0.6724547391
257	0.6724100307
258	0.6723450763
259	0.672281356
260	0.6722065363
261	0.6721475873
262	0.6721204922
263	0.6720982174
264	0.67205627
265	0.672002048
266	0.6719248309
267	0.6718520296
268	0.6718063029
269	0.6717752
270	0.6717052407
271	0.6716416455
272	0.6715925863
273	0.6715087215
274	0.6714664533
275	0.6714237486
276	0.6713727687
277	0.6712984073
278	0.6712501937
279	0.6712033149
280	0.6711454414
281	0.6711147742
282	0.671008229
283	0.6709509447
284	0.6709027187
285	0.6708683791
286	0.6707869148
287	0.6707395509
288	0.6706915831
289	0.6706466259
290	0.6706175735
291	0.670579688
292	0.6705031092
293	0.6704616186
294	0.6704001125
295	0.6703761354
296	0.6703402053
297	0.6702767233
298	0.670240093
299	0.6702019061
300	0.6701455925
301	0.6700414848
302	0.6700058999
303	0.6699609013
304	0.6698843312
305	0.669847289
306	0.6697982029
307	0.6697191123
308	0.6696808016
309	0.6695983488
310	0.669513853
311	0.6694585407
312	0.6693682899
313	0.6693414795
314	0.6693167439
315	0.669284082
316	0.6692206138
317	0.6691549904
318	0.6690910033
319	0.6690208913
320	0.6689901922
321	0.6689374878
322	0.6689055824
323	0.6688697303
324	0.6688063428
325	0.6687306771
326	0.6686911123
327	0.6686323626
328	0.6686182518
329	0.6685889638
330	0.6685389324
331	0.6685169063
332	0.6684708429
333	0.6684009772
334	0.6683669051
335	0.6683374822
336	0.6682901676
337	0.6682065313
338	0.6681675816
339	0.6681142052
340	0.6680622747
341	0.6680169224
342	0.6679728858
343	0.6679099765
344	0.6678349491
345	0.6677711217
346	0.6677512365
347	0.6677097291
348	0.6676625166
349	0.6676219049
350	0.6675916912
351	0.6675490272
352	0.667489762
353	0.6674435439
354	0.6673834544
355	0.667323568
356	0.6672781589
357	0.6672472863
