iter	Passed	Remaining
0	6	2338
1	10	1946
2	16	1958
3	20	1823
4	23	1662
5	26	1576
6	30	1540
7	35	1536
8	38	1497
9	42	1470
10	44	1415
11	49	1420
12	52	1395
13	56	1397
14	60	1373
15	66	1418
16	70	1406
17	73	1384
18	76	1364
19	80	1356
20	83	1338
21	85	1313
22	89	1296
23	91	1273
24	94	1262
25	98	1263
26	103	1272
27	107	1262
28	111	1266
29	115	1261
30	120	1268
31	123	1260
32	128	1262
33	132	1264
34	136	1258
35	139	1250
36	143	1244
37	148	1250
38	151	1241
39	155	1233
40	158	1226
41	164	1238
42	167	1230
43	171	1222
44	174	1217
45	179	1218
46	183	1214
47	186	1206
48	190	1199
49	194	1198
50	198	1196
51	201	1187
52	205	1181
53	210	1183
54	214	1183
55	218	1177
56	222	1172
57	227	1175
58	230	1168
59	234	1163
60	237	1157
61	243	1160
62	246	1154
63	250	1148
64	256	1158
65	262	1160
66	265	1155
67	270	1153
68	275	1152
69	279	1149
70	283	1144
71	286	1138
72	292	1142
73	296	1136
74	300	1132
75	303	1127
76	309	1127
77	313	1125
78	317	1119
79	319	1110
80	323	1107
81	327	1103
82	332	1101
83	336	1096
84	340	1094
85	343	1085
86	347	1081
87	350	1075
88	354	1071
89	358	1068
90	362	1063
91	365	1057
92	369	1052
93	373	1049
94	377	1044
95	380	1039
96	384	1033
97	389	1034
98	394	1032
99	399	1029
100	403	1026
101	409	1027
102	412	1021
103	416	1016
104	423	1019
105	427	1015
106	430	1009
107	434	1004
108	440	1005
109	443	999
110	447	994
111	450	990
112	454	986
113	457	980
114	461	975
115	464	970
116	470	969
117	474	965
118	478	960
119	481	955
120	487	955
121	491	950
122	494	945
123	499	941
124	504	939
125	507	934
126	510	928
127	512	921
128	521	925
129	525	921
130	529	917
131	534	915
132	538	911
133	542	907
134	547	904
135	554	904
136	557	899
137	562	896
138	567	894
139	571	889
140	575	886
141	579	881
142	586	881
143	589	876
144	594	873
145	601	873
146	604	868
147	609	864
148	613	860
149	618	857
150	622	853
151	626	849
152	630	844
153	633	839
154	636	833
155	640	829
156	644	824
157	649	822
158	653	817
159	657	813
160	661	808
161	667	807
162	671	803
163	674	798
164	679	794
165	683	790
166	687	786
167	691	781
168	697	780
169	702	776
170	705	771
171	709	767
172	714	764
173	718	759
174	721	754
175	725	750
176	730	746
177	733	741
178	737	737
179	740	732
180	744	728
181	748	724
182	752	719
183	755	714
184	761	712
185	765	708
186	768	702
187	771	697
188	777	694
189	781	690
190	784	686
191	787	681
192	793	678
193	797	674
194	801	669
195	805	665
196	811	662
197	814	658
198	818	653
199	824	651
200	829	647
201	831	642
202	834	637
203	838	632
204	843	629
205	846	624
206	850	620
207	855	616
208	859	612
209	863	608
210	866	603
211	871	600
212	877	597
213	880	592
214	885	588
215	889	584
216	893	580
217	897	576
218	900	571
219	904	567
220	909	563
221	913	559
222	917	555
223	922	551
224	926	547
225	930	543
226	933	538
227	937	534
228	941	530
229	945	525
230	949	522
231	953	517
232	958	514
233	962	510
234	966	505
235	970	501
236	975	498
237	980	494
238	983	489
239	989	486
240	993	482
241	997	478
242	1001	473
243	1005	469
244	1011	466
245	1014	462
246	1019	458
247	1023	454
248	1027	449
249	1030	445
250	1034	441
251	1038	436
252	1042	432
253	1046	428
254	1049	424
255	1054	420
256	1058	416
257	1062	411
258	1066	407
259	1070	403
260	1073	399
261	1077	394
262	1081	390
263	1085	386
264	1089	382
265	1093	378
266	1097	373
267	1102	370
268	1107	366
269	1110	362
270	1114	357
271	1120	354
272	1124	350
273	1127	345
274	1132	341
275	1137	337
276	1140	333
277	1144	329
278	1152	326
279	1156	322
280	1162	318
281	1168	315
282	1172	310
283	1176	306
284	1180	302
285	1185	298
286	1189	294
287	1194	290
288	1199	286
289	1203	282
290	1208	278
291	1211	273
292	1216	269
293	1220	265
294	1225	261
295	1230	257
296	1235	253
297	1239	249
298	1243	245
299	1247	241
300	1252	237
301	1255	232
302	1259	228
303	1266	224
304	1270	220
305	1273	216
306	1277	212
307	1283	208
308	1286	204
309	1290	199
310	1294	195
311	1298	191
312	1303	187
313	1305	182
314	1308	178
315	1314	174
316	1318	170
317	1322	166
318	1325	162
319	1330	157
320	1334	153
321	1338	149
322	1343	145
323	1348	141
324	1352	137
325	1355	133
326	1359	128
327	1365	124
328	1368	120
329	1372	116
330	1376	112
331	1380	108
332	1384	103
333	1388	99
334	1392	95
335	1398	91
336	1405	87
337	1410	83
338	1414	79
339	1420	75
340	1425	71
341	1428	66
342	1433	62
343	1438	58
344	1443	54
345	1447	50
346	1451	46
347	1456	41
348	1461	37
349	1465	33
350	1470	29
351	1474	25
352	1478	20
353	1482	16
354	1487	12
355	1492	8
356	1497	4
357	1500	0
